variable,fuente,variable_origen,bloque,dimension,descripcion,unidad,denominador,justificacion,limitaciones
jurisdiccion,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",jurisdiccion,clave territorial,territorio,Clave de identificacion territorial de la fila.,texto,,Define la unidad de analisis del dataset.,
departamento,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",departamento,clave territorial,territorio,Clave de identificacion territorial de la fila.,texto,,Define la unidad de analisis del dataset.,
sector,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sector,clave territorial,territorio,Clave de identificacion territorial de la fila.,texto,,Define la unidad de analisis del dataset.,
ambito,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ambito,clave territorial,territorio,Clave de identificacion territorial de la fila.,texto,,Define la unidad de analisis del dataset.,
estudiantes,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap03 (suma),volumen,territorio,"Estudiantes que representa la fila, ya expandidos por el factor de ponderacion.",personas (ponderadas),,"Es el peso de la fila: sin esto, un departamento de 4.000 estudiantes y uno de 20 valen igual en cualquier promedio.","Tiene decimales porque es una suma de ponderadores, no un conteo de personas."
sexo__masculino,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap03_masculino,sexo,estudiante,Sexo que figura en el DNI del estudiante. Categoria: masculino.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sexo' (ver cob__sexo),Variable pedida explicitamente por la consigna. Permite analizar brechas de genero en trayectoria y desempeño.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sexo__femenino,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap03_femenino,sexo,estudiante,Sexo que figura en el DNI del estudiante. Categoria: femenino.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sexo' (ver cob__sexo),Variable pedida explicitamente por la consigna. Permite analizar brechas de genero en trayectoria y desempeño.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sexo__x,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap03_x,sexo,estudiante,Sexo que figura en el DNI del estudiante. Categoria: x.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sexo' (ver cob__sexo),Variable pedida explicitamente por la consigna. Permite analizar brechas de genero en trayectoria y desempeño.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__vivo_solo,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_vivo_solo,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: vivo solo.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__2,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_2,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 2.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__3,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_3,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 3.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__4,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_4,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 4.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__5,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_5,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 5.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__6,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_6,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 6.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__7,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_7,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 7.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__8,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_8,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 8.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__9,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_9,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 9.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
tamano_hogar__10_o_mas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap12_10_o_mas,tamano_hogar,hogar,Cantidad de personas con las que vive el estudiante. Categoria: 10 o mas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'tamano_hogar' (ver cob__tamano_hogar),Pedida por la consigna ('tamaño del hogar'). Se eligio ap12 y no ap11 porque su categoria 'Vivo solo' delata que cuenta personas del hogar. ap11 quedo SIN IDENTIFICAR: mismas opciones sin esa categoria.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__no_hay_libros_en_formato_papel,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_no_hay_libros_en_formato_papel,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: no hay libros en formato papel.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__de_1_a_5_libros,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_de_1_a_5_libros,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: de 1 a 5 libros.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__de_6_a_20_libros,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_de_6_a_20_libros,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: de 6 a 20 libros.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__de_21_a_50_libros,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_de_21_a_50_libros,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: de 21 a 50 libros.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__de_51_a_100_libros,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_de_51_a_100_libros,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: de 51 a 100 libros.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
libros_hogar__mas_de_100_libros,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap19_mas_de_100_libros,libros_hogar,hogar,"Cantidad de libros en papel en el hogar, en tramos. Categoria: mas de 100 libros.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'libros_hogar' (ver cob__libros_hogar),Pedida por la consigna. Es un proxy clasico de capital cultural del hogar.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
asistio_jardin__si_desde_sala_de_3_o_antes,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap24_si_desde_sala_de_3_o_antes,asistio_jardin,trayectoria,Si asistio al jardin de infantes y desde que sala. Categoria: si desde sala de 3 o antes.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'asistio_jardin' (ver cob__asistio_jardin),NO la pide la consigna. Incorporada por criterio del equipo como marcador de trayectoria temprana. A VALIDAR en el TP2.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
asistio_jardin__si_desde_sala_de_4,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap24_si_desde_sala_de_4,asistio_jardin,trayectoria,Si asistio al jardin de infantes y desde que sala. Categoria: si desde sala de 4.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'asistio_jardin' (ver cob__asistio_jardin),NO la pide la consigna. Incorporada por criterio del equipo como marcador de trayectoria temprana. A VALIDAR en el TP2.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
asistio_jardin__si_desde_sala_de_5,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap24_si_desde_sala_de_5,asistio_jardin,trayectoria,Si asistio al jardin de infantes y desde que sala. Categoria: si desde sala de 5.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'asistio_jardin' (ver cob__asistio_jardin),NO la pide la consigna. Incorporada por criterio del equipo como marcador de trayectoria temprana. A VALIDAR en el TP2.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
asistio_jardin__no_no_fui_al_jardin,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap24_no_no_fui_al_jardin,asistio_jardin,trayectoria,Si asistio al jardin de infantes y desde que sala. Categoria: no no fui al jardin.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'asistio_jardin' (ver cob__asistio_jardin),NO la pide la consigna. Incorporada por criterio del equipo como marcador de trayectoria temprana. A VALIDAR en el TP2.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__ninguna_falta,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_ninguna_falta,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: ninguna falta.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__menos_de_5_faltas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_menos_de_5_faltas,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: menos de 5 faltas.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__de_5_a_14_faltas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_de_5_a_14_faltas,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: de 5 a 14 faltas.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__de_15_a_19_faltas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_de_15_a_19_faltas,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: de 15 a 19 faltas.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__de_20_a_29_faltas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_de_20_a_29_faltas,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: de 20 a 29 faltas.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
inasistencias__30_o_mas_faltas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap27_30_o_mas_faltas,inasistencias,trayectoria,"Cantidad de faltas en el año, en tramos. Categoria: 30 o mas faltas.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'inasistencias' (ver cob__inasistencias),Pedida por la consigna. El ausentismo es el paso previo observable al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
